chrVI	167476	167489	+
chrVI	191558	191576	-
chrVI	203293	203386	-
chrVI	210655	210668	-
chrVI	221268	221414	-
chrVI	242010	242081	+
chrVII	31427	31578	-
chrVII	62132	62189	+
chrVII	72989	73137	-
chrVII	115525	115547	+
chrVII	157200	157282	-
chrVII	167355	167994	+
chrVII	205559	205590	+
chrVII	249887	250086	+
chrVII	287386	287419	-
chrVII	311016	311526	+
chrVII	346809	346893	-
chrVII	364965	365432	-
chrVII	365527	365985	-
chrVII	423130	423161	+
chrVII	435680	435749	+
chrVII	436313	436374	+
chrVII	439094	439323	+
chrVII	440752	440770	-
chrVII	497366	497458	-
chrVII	497938	497999	-
chrVII	543639	543721	+
chrVII	555831	556307	+
chrVII	700989	701011	-
chrVII	727039	727357	+
chrVII	857422	857453	-
chrVII	859261	859473	-
chrVII	878746	878779	-
chrVII	920665	921119	+
chrVII	946328	946420	+
chrVII	1084883	1085030	+
chrVIII	1898	2670	-
chrVIII	104406	104803	+
chrVIII	107832	107894	+
chrVIII	126552	127112	+
chrVIII	129529	129647	+
chrVIII	138241	138408	-
chrVIII	148117	148666	-
chrVIII	187515	187676	-
chrVIII	189750	189850	-
chrVIII	237884	237902	-
chrVIII	251156	251248	+
chrVIII	255638	255750	-
chrVIII	262355	262440	-
chrVIII	298361	298484	-
chrVIII	315772	315858	-
chrVIII	354865	354955	+
chrVIII	358514	358532	-
chrVIII	382307	382747	-
chrVIII	388929	388959	-
chrVIII	498720	498786	-
chrVIII	505248	505516	-
chrVIII	558616	558714	+
chrIX	4599	4986	-
chrIX	47699	47760	+
chrIX	68716	69149	+
chrIX	99096	99385	-
chrIX	166435	166519	+
chrIX	225810	225899	-
chrIX	231958	232366	-
chrIX	256555	257026	-
chrIX	316772	317171	+
chrIX	335936	335936	-
chrIX	348364	348494	-
chrX	4582	4969	-
chrX	50269	50411	-
chrX	73797	74204	+
chrX	75939	76324	+
chrX	91095	91411	+
chrX	156790	157249	-
chrX	354283	354296	+
chrX	387349	387435	-
chrX	396494	396570	-
chrX	415967	416000	-
chrX	435228	435343	+
chrX	469184	469263	-
chrX	542992	543005	-
chrX	580348	581052	+
chrX	608307	608581	+
chrX	617957	617975	+
chrX	637810	637858	+
chrX	702799	703054	-
chrXI	82999	83074	+
chrXI	109578	109883	+
chrXI	155272	155654	+
chrXI	158616	158966	+
chrXI	283096	283421	+
chrXI	302954	302987	+
chrXI	430456	430596	-
chrXI	432035	432432	+
chrXI	437838	437905	+
chrXI	447707	447810	-
chrXI	449952	450020	-
chrXI	458595	458626	+
chrXI	551681	552002	+
chrXI	579002	579024	+
chrXI	618375	618742	-
chrXI	625902	625976	+
chrXII	3916	4014	-
chrXII	9451	9549	-
chrXII	40222	40400	-
chrXII	92584	92614	+
chrXII	242322	242680	+
chrXII	250861	250947	-
chrXII	263206	263594	+
chrXII	286468	286556	-
chrXII	327259	327399	-
chrXII	398533	398626	+
chrXII	455182	455413	-
chrXII	455572	455932	-
chrXII	464319	464550	-
chrXII	464709	465069	-
chrXII	522670	523028	+
chrXII	548678	548763	-
chrXII	550459	550574	-
chrXII	564455	564513	-
chrXII	592563	592581	-
chrXII	605336	605395	-
chrXII	628421	628453	+
chrXII	694383	694472	+
chrXII	712726	713155	-
chrXII	732128	732146	+
chrXII	744154	744287	+
chrXII	766074	766129	-
chrXII	766182	766249	-
chrXII	784390	784409	+
chrXII	786616	786712	+
chrXII	819331	819777	+
chrXII	856575	857057	+
chrXII	875413	875435	+
chrXII	931350	931698	-
chrXII	987142	987212	+
chrXII	1024573	1024654	+
chrXII	1028869	1029252	+
chrXII	1067085	1067363	+
chrXIII	3792	3890	-
chrXIII	23361	23658	-
chrXIII	82291	82373	+
chrXIII	99260	99375	-
chrXIII	123743	124157	-
chrXIII	140091	140183	-
chrXIII	163309	163716	-
chrXIII	168834	168847	+
chrXIII	196104	196134	-
chrXIII	206098	206203	+
chrXIII	211445	211570	+
chrXIII	223381	223781	-
chrXIII	225240	225338	-
chrXIII	225892	226289	+
chrXIII	236592	236953	+
chrXIII	337818	337903	+
chrXIII	352317	352334	+
chrXIII	379339	379372	-
chrXIII	424998	425153	+
chrXIII	499879	500151	-
chrXIII	504933	504964	+
chrXIII	517564	517885	+
chrXIII	537449	537564	+
chrXIII	550802	551203	-
chrXIII	551952	552495	+
chrXIII	651161	651623	+
chrXIII	652776	652847	-
chrXIII	666934	667017	-
chrXIII	721199	721345	-
chrXIII	732466	732875	+
chrXIII	837967	837980	+
chrXIII	854817	854898	+
chrXIV	5932	6079	-
chrXIV	48294	48401	+
chrXIV	62373	62923	-
chrXIV	64019	64450	-
chrXIV	145150	145254	-
chrXIV	185492	185586	+
chrXIV	331326	331837	+
chrXIV	350958	351053	+
chrXIV	366036	366157	+
chrXIV	374906	374923	+
chrXIV	380690	380781	-
chrXIV	414912	415913	+
chrXIV	443044	443075	+
chrXIV	443827	444171	-
chrXIV	494525	494973	-
chrXIV	534875	534965	-
chrXIV	545292	545370	+
chrXIV	547130	547160	+
chrXIV	557611	557684	+
chrXIV	568151	568181	+
chrXIV	609791	609874	+
chrXIV	622945	623286	+
chrXIV	721771	722302	-
chrXV	80361	80774	+
chrXV	92441	92830	-
chrXV	93844	94290	-
chrXV	240948	241025	-
chrXV	242442	242504	-
chrXV	274710	274728	+
chrXV	288231	288244	+
chrXV	301133	301162	+
chrXV	438680	438702	+
chrXV	464486	464515	+
chrXV	505938	506338	+
chrXV	552666	552874	-
chrXV	678380	678790	-
chrXV	778860	779386	-
chrXV	780121	780277	+
chrXV	785688	785688	+
chrXV	867150	867586	+
chrXV	912086	912432	-
chrXV	980719	980751	+
chrXVI	5841	5988	-
chrXVI	56205	56238	-
chrXVI	75986	76223	-
chrXVI	96154	96233	-
chrXVI	138726	138864	+
chrXVI	173163	173571	+
chrXVI	173666	174072	+
chrXVI	218647	218746	+
chrXVI	281374	281503	-
chrXVI	282141	282665	+
chrXVI	305307	305411	+
chrXVI	345445	345596	-
chrXVI	377996	378389	-
chrXVI	404957	405457	+
chrXVI	406647	407067	+
chrXVI	412262	413012	+
chrXVI	459006	459006	+
chrXVI	492919	493020	-
chrXVI	560234	560252	-
chrXVI	582559	582701	-
chrXVI	622576	622594	-
chrXVI	623578	623710	+
chrXVI	654168	654570	+
chrXVI	678194	678279	-
chrXVI	729386	729481	-
chrXVI	769243	769265	-
chrXVI	795030	795394	+
chrXVI	833694	833827	+
chrXVI	883388	883486	+
chrXVI	911277	911352	+
chrXVI	943051	943198	+
chrMito	13987	16434	+
chrMito	16471	18953	+
chrMito	18992	20507	+
chrMito	20985	21994	+
chrMito	22247	23611	+
chrMito	23747	25317	+
chrMito	24871	24905	+
chrMito	25343	26228	+
chrMito	36955	37722	+
chrMito	37737	39140	+
chrMito	39218	40840	+
chrMito	41091	42507	+
chrMito	42559	43296	+
chrMito	60725	61867	+
chrMito	75623	75662	+
chrMito	75873	75903	+
