chrXIII	837967	837980	+	3842
chrXIII	854817	854898	+	3852
chrXIV	5932	6079	-	4372
chrXIV	48294	48401	+	4401
chrXIV	62373	62923	-	4411
chrXIV	64019	64450	-	4412
chrXIV	145150	145254	-	4455
chrXIV	185492	185586	+	4474
chrXIV	331326	331837	+	4560
chrXIV	350958	351053	+	4575
chrXIV	366036	366157	+	4586
chrXIV	374906	374923	+	4593
chrXIV	380690	380781	-	4596
chrXIV	414912	415913	+	4615
chrXIV	443044	443075	+	4634
chrXIV	443827	444171	-	4635
chrXIV	494525	494973	-	4662
chrXIV	534875	534965	-	4685
chrXIV	545292	545370	+	4691
chrXIV	547130	547160	+	4693
chrXIV	557611	557684	+	4699
chrXIV	568151	568181	+	4703
chrXIV	609791	609874	+	4732
chrXIV	622945	623286	+	4740
chrXIV	721771	722302	-	4803
chrXV	80361	80774	+	928
chrXV	92441	92830	-	934
chrXV	93844	94290	-	935
chrXV	240948	241025	-	1020
chrXV	242442	242504	-	1021
chrXV	274710	274728	+	1045
chrXV	288231	288244	+	1053
chrXV	301133	301162	+	1063
chrXV	438680	438702	+	1144
chrXV	464486	464515	+	1160
chrXV	505938	506338	+	1186
chrXV	552666	552874	-	1213
chrXV	678380	678790	-	1281
chrXV	778860	779386	-	1341
chrXV	780121	780277	+	1343
chrXV	785688	785688	+	1347
chrXV	867150	867586	+	1404
chrXV	912086	912432	-	1434
chrXV	980719	980751	+	1466
chrXVI	5841	5988	-	2800
chrXVI	56205	56238	-	2828
chrXVI	75986	76223	-	2839
chrXVI	96154	96233	-	2849
chrXVI	138726	138864	+	2873
chrXVI	173163	173571	+	2893
chrXVI	173666	174072	+	2893
chrXVI	218647	218746	+	2920
chrXVI	281374	281503	-	2953
chrXVI	282141	282665	+	2954
chrXVI	305307	305411	+	2969
chrXVI	345445	345596	-	2991
chrXVI	377996	378389	-	3011
chrXVI	404957	405457	+	3020
chrXVI	406647	407067	+	3022
chrXVI	412262	413012	+	3026
chrXVI	459006	459006	+	3051
chrXVI	492919	493020	-	3073
chrXVI	560234	560252	-	3106
chrXVI	582559	582701	-	3118
chrXVI	622576	622594	-	3137
chrXVI	623578	623710	+	3138
chrXVI	654168	654570	+	3154
chrXVI	678194	678279	-	3174
chrXVI	729386	729481	-	3213
chrXVI	769243	769265	-	3236
chrXVI	795030	795394	+	3251
chrXVI	833694	833827	+	3279
chrXVI	883388	883486	+	3307
chrXVI	911277	911352	+	3326
chrXVI	943051	943198	+	3341
chrMito	13987	16434	+	7079,7080,7082,7083,7084
chrMito	16471	18953	+	7079,7080,7083,7084
chrMito	18992	20507	+	7079,7083,7084
chrMito	20985	21994	+	7079,7083
chrMito	22247	23611	+	7079
chrMito	23747	25317	+	7079
chrMito	24871	24905	+	7085
chrMito	25343	26228	+	7079
chrMito	36955	37722	+	7090,7091,7092,7093
chrMito	37737	39140	+	7090,7092,7093
chrMito	39218	40840	+	7090,7093
chrMito	41091	42507	+	7093
chrMito	42559	43296	+	7093
chrMito	60725	61867	+	7100
chrMito	75623	75662	+	7120
chrMito	75873	75903	+	7120
